AspectMethodFmaxSminAUPR
BPProteinExt30.22660.7700.123
BPProteinExt3-noBLAST0.22160.4410.121
BPProteinExt3-noCrafted0.21660.2660.115
BPProteinExt3-meanPooling0.22462.1320.119
CCProteinExt30.54713.3050.490
CCProteinExt3-noBLAST0.52313.7170.471
CCProteinExt3-noCrafted0.50714.0220.447
CCProteinExt3-meanPooling0.49114.4220.423
MFProteinExt30.66910.1210.619
MFProteinExt3-noBLAST0.67410.1420.617
MFProteinExt3-noCrafted0.64310.3350.569
MFProteinExt3-meanPooling0.62510.3120.547
